state,st_case,county,city,day,month,year,day_week,hour,minute,latitude,longitud,fatals
37,370458,119,870,9,5,2018,4,13,24,35.21480556,-80.6884,1
37,370459,119,870,11,5,2018,6,7,37,35.21964167,-80.7807,2
37,370460,119,870,13,5,2018,1,6,43,35.22026944,-80.8101,1
37,370461,121,0,6,5,2018,1,16,13,35.96283889,-82.1373,1
37,370462,125,0,15,5,2018,3,15,28,35.38571667,-79.4947,1
37,370463,125,0,17,5,2018,5,5,20,35.10700833,-79.4737,1
37,370464,127,0,9,5,2018,4,17,2,35.95390833,-78.0103,1
37,370465,133,0,8,5,2018,3,18,27,34.71488333,-77.3134,1
37,370466,147,1950,2,5,2018,4,22,17,35.61026389,-77.4273,1
37,370467,147,1660,3,5,2018,5,6,10,35.58512222,-77.589,1
37,370468,147,1950,8,5,2018,3,5,42,35.60731944,-77.343,1
37,370469,151,0,5,5,2018,7,22,25,35.89490278,-79.8943,1
37,370470,151,0,13,5,2018,1,23,20,35.757575,-79.6293,1
37,370471,155,0,3,5,2018,5,23,30,34.75517222,-79.2446,1
37,370472,155,2770,5,5,2018,7,18,19,34.66155833,-79.0086,1
37,370473,155,0,5,5,2018,7,0,29,34.68598056,-79.1707,1
37,370474,155,0,6,5,2018,1,4,51,34.71034167,-79.1352,1
37,370475,155,0,8,5,2018,3,15,26,34.71981389,-79.2112,1
37,370476,155,0,17,5,2018,5,17,1,34.76761667,-79.0606,1
37,370477,157,0,14,5,2018,2,20,30,36.48308056,-79.567,1
37,370478,161,0,13,5,2018,1,21,50,35.32108611,-81.7864,1
37,370479,163,0,6,5,2018,1,19,27,35.02837222,-78.4858,1
37,370480,169,0,12,5,2018,7,12,14,36.50138889,-80.1255,1
37,370481,179,3100,11,5,2018,6,16,57,35.00356667,-80.57300000000001,1
37,370482,181,0,5,5,2018,7,1,20,36.27556389,-78.4062,2
37,370483,183,1770,6,5,2018,1,0,37,35.71079167,-78.6228,1
37,370484,183,0,22,5,2018,3,5,36,35.86292778,-78.8402,1
37,370485,185,0,13,5,2018,1,21,27,36.43496389,-78.1623,1
37,370486,193,5040,2,5,2018,4,9,45,36.14985,-81.2194,1
37,370487,193,0,16,5,2018,4,21,37,36.17576389,-81.1719,1
37,370488,195,5070,4,5,2018,6,9,4,35.73255,-77.8813,1
37,370489,197,0,9,5,2018,4,9,0,36.23945833,-80.6324,1
37,370490,57,0,19,2,2018,2,7,23,35.92229167,-80.2474,1
37,370491,119,870,7,3,2018,4,21,37,35.16167778,-80.7417,1
37,370492,129,5060,27,3,2018,3,21,5,34.19554722,-77.90899999999999,1
37,370493,185,0,28,3,2018,4,15,38,36.3008,-78.0955,1
37,370494,23,0,29,4,2018,1,14,46,35.98618889,-81.8936,1
37,370495,101,4230,17,4,2018,3,10,48,35.51500833,-78.3275,1
37,370496,11,0,31,5,2018,5,16,8,36.05288333,-81.8825,1
37,370497,19,0,21,5,2018,2,23,37,34.12190278,-78.3196,1
37,370498,19,0,28,5,2018,2,6,56,34.03032222,-78.2233,1
37,370499,23,0,31,5,2018,5,14,43,35.71931389,-81.6887,1
37,370500,25,0,25,5,2018,6,14,3,35.28139444,-80.5741,1
37,370501,25,0,29,5,2018,3,10,40,35.36966667,-80.5488,1
37,370502,35,2710,16,5,2018,4,5,20,35.72149444,-81.3857,1
37,370503,43,0,29,5,2018,3,18,16,35.03525833,-83.6359,1
37,370504,47,850,16,5,2018,4,14,30,34.30596389,-78.8041,1
37,370505,51,0,11,5,2018,6,7,30,34.93760278,-78.9366,1
37,370506,63,0,18,5,2018,6,0,15,35.93128611,-78.8081,1
37,370507,63,0,19,5,2018,7,15,55,36.00615833,-78.8434,1
37,370508,63,1360,27,5,2018,1,4,35,36.01707778,-78.9156,1
37,370509,71,390,31,5,2018,5,3,27,35.25748611,-81.0205,1
37,370510,77,0,28,5,2018,2,12,3,36.23641667,-78.6975,1
37,370511,77,0,30,5,2018,4,21,1,36.122225,-78.745,1
37,370512,81,1985,27,5,2018,1,20,47,36.09510556,-79.76899999999999,1
37,370513,85,1560,15,5,2018,3,11,40,35.32187778,-78.672,1
37,370514,99,0,4,5,2018,6,15,46,35.38094444,-83.2258,1
37,370515,107,0,17,5,2018,5,11,33,35.26356111,-77.5725,1
37,370516,119,870,7,5,2018,2,1,34,35.244225,-80.8982,1
37,370517,119,2280,20,5,2018,1,4,29,35.39693333,-80.8548,1
37,370518,119,870,28,5,2018,2,13,55,35.21405556,-80.8733,1
37,370519,119,870,29,5,2018,3,13,17,35.22769444,-80.8425,1
37,370520,119,870,30,5,2018,4,3,17,35.3178,-80.7115,1
37,370521,119,870,30,5,2018,4,12,9,35.28437778,-80.8948,1
37,370522,119,2940,30,5,2018,4,0,47,35.09375278,-80.7021,1
37,370523,119,870,31,5,2018,5,18,15,35.20723611,-80.8682,1
37,370524,131,0,18,5,2018,6,21,33,36.26426944,-77.2908,1
37,370525,133,0,15,5,2018,3,0,3,34.75546944,-77.4728,1
37,370526,145,0,20,5,2018,1,20,26,36.45335,-79.0543,1
37,370527,147,0,1,5,2018,3,9,17,35.61109167,-77.3937,1
37,370528,149,0,28,5,2018,2,14,33,35.20907778,-82.23899999999999,2
37,370529,155,0,22,5,2018,3,15,18,34.73731389,-79.1455,1
37,370530,161,1680,23,5,2018,4,16,55,35.33176667,-81.8687,1
37,370531,163,0,28,5,2018,2,15,48,34.96671667,-78.3066,1
37,370532,175,600,20,5,2018,1,17,30,35.23008611,-82.7369,1
37,370533,183,0,20,5,2018,1,17,31,35.96485278,-78.4363,2
37,370534,197,0,21,5,2018,2,22,53,36.21710278,-80.8114,1
37,370535,1,700,2,6,2018,7,2,8,36.08226944,-79.4689,1
37,370536,1,700,26,6,2018,3,21,53,36.07341389,-79.4571,1
37,370537,3,0,16,6,2018,7,15,38,35.95356111,-81.0107,1
37,370538,3,0,18,6,2018,2,16,29,35.91938889,-81.249,1
37,370539,3,0,30,6,2018,7,11,37,36.03116389,-81.186,1
37,370540,7,0,14,6,2018,5,21,46,35.18592222,-80.2652,1
37,370541,15,0,11,6,2018,2,7,6,36.14282222,-77.2094,1
37,370542,21,0,13,6,2018,4,22,13,35.639375,-82.6735,1
37,370543,21,170,25,6,2018,2,5,3,35.52883889,-82.529,2
37,370544,21,0,26,6,2018,3,23,20,35.62310278,-82.6585,1
37,370545,21,170,29,6,2018,6,8,6,35.56115556,-82.6327,1
37,370546,51,1670,23,6,2018,7,23,26,35.09116389,-78.9206,1
37,370547,27,0,21,6,2018,5,4,0,36.04778333,-81.5936,2
37,370548,139,0,10,6,2018,1,20,59,36.41736667,-76.3489,2
37,370549,31,3120,4,6,2018,2,10,3,34.738425,-76.8076,1
37,370550,31,0,30,6,2018,7,17,10,34.68328889,-77.0833,1
37,370551,37,0,22,6,2018,6,11,12,35.734875,-79.425,1
37,370552,37,0,22,6,2018,6,2,33,35.650575,-79.2668,1
37,370553,45,0,7,6,2018,5,22,13,35.31581667,-81.4867,1
37,370554,45,0,8,6,2018,6,14,49,35.20911667,-81.4954,1
37,370555,45,0,11,6,2018,2,17,35,35.21177778,-81.4271,1
37,370556,47,0,16,6,2018,7,8,46,34.27144167,-78.742,1
37,370557,49,0,6,6,2018,4,12,49,35.20448056,-77.1554,2
37,370558,49,0,21,6,2018,5,8,55,35.13707778,-76.9601,1
37,370559,49,0,22,6,2018,6,18,18,35.30942222,-77.1327,1
37,370560,51,0,3,6,2018,1,15,37,35.026975,-78.9013,2
37,370561,51,0,5,6,2018,3,7,32,35.06506667,-78.7671,1
37,370562,51,1670,7,6,2018,5,20,47,35.05811944,-78.9929,1
37,370563,51,0,18,6,2018,2,19,11,34.94961667,-78.9559,1
37,370564,51,1670,22,6,2018,6,22,13,35.10514722,-78.8785,1
37,370565,51,4440,24,6,2018,1,21,35,34.98477778,-78.7405,1
37,370566,51,0,26,6,2018,3,18,30,35.12023333,-78.8798,1
37,370567,57,0,3,6,2018,1,9,2,35.77105278,-80.0997,1
37,370568,57,4803,5,6,2018,3,22,13,35.81460556,-80.0809,1
37,370569,57,0,9,6,2018,7,4,18,35.596225,-80.1009,1
